"Time","Potential"
0.000,0.015
0.002,0.018
0.004,0.021
0.006,0.021
0.008,0.009
0.010,0.009
0.012,0.012
0.014,0.021
0.016,0.009
0.018,0.018
0.020,0.018
0.022,0.018
0.024,0.021
0.026,0.009
0.028,0.015
0.030,0.012
0.032,0.015
0.034,-0.006
0.036,0.015
0.038,0.015
0.040,0.018
0.042,0.018
0.044,0.015
0.046,0.015
0.048,0.015
0.050,0.012
0.052,0.009
0.054,0.009
0.056,0.012
0.058,0.015
0.060,0.006
0.062,0.006
0.064,0.009
0.066,0.012
0.068,0.015
0.070,0.015
0.072,0.015
0.074,0.012
0.076,0.015
0.078,0.009
0.080,0.006
0.082,0.006
0.084,0.006
0.086,0.015
0.088,0.018
0.090,0.018
0.092,0.015
0.094,0.015
0.096,0.018
0.098,0.009
0.100,0.009
0.102,0.012
0.104,0.015
0.106,0.018
0.108,-0.006
0.110,0.006
0.112,0.012
0.114,0.015
0.116,0.006
0.118,0.012
0.120,0.015
0.122,0.015
0.124,0.018
0.126,0.006
0.128,0.009
0.130,0.009
0.132,0.015
0.134,0.006
0.136,0.012
0.138,0.018
0.140,0.021
0.142,0.018
0.144,0.012
0.146,0.015
0.148,0.015
0.150,0.018
0.152,0.009
0.154,0.009
0.156,0.015
0.158,0.018
0.160,0.012
0.162,0.006
0.164,0.012
0.166,0.018
0.168,0.018
0.170,0.018
0.172,0.018
0.174,0.018
0.176,0.018
0.178,0.009
0.180,0.015
0.182,0.009
0.184,0.018
0.186,0.021
0.188,0.015
0.190,0.015
0.192,0.021
0.194,0.021
0.196,0.018
0.198,0.015
0.200,0.012
0.202,0.015
0.204,0.018
0.206,0.015
0.208,0.009
0.210,0.015
0.212,-0.006
0.214,0.006
0.216,0.006
0.218,0.012
0.220,0.015
0.222,0.015
0.224,0.018
0.226,0.006
0.228,0.006
0.230,0.006
0.232,0.009
0.234,0.006
0.236,0.009
0.238,0.015
0.240,0.015
0.242,0.018
0.244,0.006
0.246,0.012
0.248,0.012
0.250,0.015
0.252,0.009
0.254,0.006
0.256,0.009
0.258,0.015
0.260,0.009
0.262,0.006
0.264,0.012
0.266,0.009
0.268,0.015
0.270,0.018
0.272,0.015
0.274,0.015
0.276,0.015
0.278,0.006
0.280,0.012
0.282,0.006
0.284,0.009
0.286,0.015
0.288,0.009
0.290,0.006
0.292,0.015
0.294,0.018
0.296,0.015
0.298,0.009
0.300,0.006
0.302,0.012
0.304,0.015
0.306,0.015
0.308,0.006
0.310,0.009
0.312,-0.006
0.314,0.006
0.316,0.006
0.318,0.012
0.320,0.015
0.322,0.015
0.324,0.015
0.326,0.006
0.328,0.006
0.330,0.006
0.332,0.006
0.334,0.012
0.336,0.009
0.338,0.015
0.340,0.018
0.342,0.009
0.344,0.006
0.346,0.009
0.348,0.015
0.350,0.015
0.352,0.012
0.354,0.009
0.356,0.012
0.358,0.015
0.360,-0.006
0.362,0.009
0.364,0.012
0.366,0.015
0.368,0.018
0.370,0.018
0.372,0.015
0.374,0.015
0.376,0.015
0.378,-0.006
0.380,0.006
0.382,0.009
0.384,0.009
0.386,0.018
0.388,0.006
0.390,0.006
0.392,0.009
0.394,0.015
0.396,0.006
0.398,0.009
0.400,0.012
0.402,0.012
0.404,0.015
0.406,0.006
0.408,0.009
0.410,0.006
0.412,0.006
0.414,-0.006
0.416,0.009
0.418,0.009
0.420,0.012
0.422,0.012
0.424,0.006
0.426,0.009
0.428,0.006
0.430,0.009
0.432,0.006
0.434,0.006
0.436,0.009
0.438,0.015
0.440,0.006
0.442,-0.006
0.444,0.006
0.446,0.006
0.448,0.015
0.450,0.012
0.452,0.012
0.454,0.009
0.456,0.015
0.458,0.006
0.460,0.009
0.462,0.006
0.464,0.006
0.466,0.012
0.468,0.015
0.470,0.009
0.472,0.015
0.474,0.015
0.476,0.015
0.478,0.009
0.480,0.006
0.482,0.006
0.484,0.009
0.486,0.015
0.488,-0.006
0.490,0.003
0.492,0.006
0.494,0.003
0.496,-0.006
0.498,0.006
0.500,0.015
0.502,0.012
0.504,0.018
0.506,-0.006
0.508,0.006
0.510,0.006
0.512,0.006
0.514,0.009
0.516,0.009
0.518,0.015
0.520,0.015
0.522,0.009
