"Time","Potential"
0.000,1.305
0.002,1.296
0.004,1.296
0.006,1.287
0.008,1.278
0.010,1.259
0.012,1.266
0.014,1.266
0.016,1.262
0.018,1.259
0.020,1.250
0.022,1.250
0.024,1.250
0.026,1.256
0.028,1.259
0.030,1.262
0.032,1.256
0.034,1.266
0.036,1.271
0.038,1.278
0.040,1.281
0.042,1.287
0.044,1.290
0.046,1.296
0.048,1.299
0.050,1.305
0.052,1.311
0.054,1.308
0.056,1.308
0.058,1.308
0.060,1.311
0.062,1.311
0.064,1.299
0.066,1.299
0.068,1.290
0.070,1.287
0.072,1.287
0.074,1.278
0.076,1.262
0.078,1.259
0.080,1.250
0.082,1.241
0.084,1.241
0.086,1.229
0.088,1.214
0.090,1.220
0.092,1.217
0.094,1.217
0.096,1.214
0.098,1.202
0.100,1.202
0.102,1.202
0.104,1.202
0.106,1.208
0.108,1.211
0.110,1.214
0.112,1.217
0.114,1.223
0.116,1.235
0.118,1.241
0.120,1.250
0.122,1.253
0.124,1.259
0.126,1.271
0.128,1.278
0.130,1.284
0.132,1.287
0.134,1.293
0.136,1.296
0.138,1.302
0.140,1.308
0.142,1.311
0.144,1.302
0.146,1.311
0.148,1.314
0.150,1.317
0.152,1.323
0.154,1.320
0.156,1.329
0.158,1.323
0.160,1.326
0.162,1.332
0.164,1.335
0.166,1.320
0.168,1.329
0.170,1.326
0.172,1.329
0.174,1.329
0.176,1.320
0.178,1.308
0.180,1.308
0.182,1.311
0.184,1.314
0.186,1.314
0.188,1.311
0.190,1.308
0.192,1.308
0.194,1.314
0.196,1.317
0.198,1.317
0.200,1.317
0.202,1.305
0.204,1.311
0.206,1.311
0.208,1.311
0.210,1.311
0.212,1.302
0.214,1.302
0.216,1.308
0.218,1.311
0.220,1.311
0.222,1.317
0.224,1.314
0.226,1.308
0.228,1.311
0.230,1.317
0.232,1.317
0.234,1.305
0.236,1.308
0.238,1.311
0.240,1.311
0.242,1.311
0.244,1.302
0.246,1.299
0.248,1.293
0.250,1.284
0.252,1.284
0.254,1.281
0.256,1.259
0.258,1.268
0.260,1.271
0.262,1.274
0.264,1.281
0.266,1.271
0.268,1.266
0.270,1.256
0.272,1.256
0.274,1.259
0.276,1.256
0.278,1.250
0.280,1.244
0.282,1.247
0.284,1.244
0.286,1.247
0.288,1.241
0.290,1.241
0.292,1.229
0.294,1.229
0.296,1.229
0.298,1.226
0.300,1.226
0.302,1.226
0.304,1.226
0.306,1.226
0.308,1.235
0.310,1.238
0.312,1.238
0.314,1.232
0.316,1.223
0.318,1.217
0.320,1.205
0.322,1.202
0.324,1.187
0.326,1.190
0.328,1.199
0.330,1.208
0.332,1.217
0.334,1.208
0.336,1.202
0.338,1.196
0.340,1.193
0.342,1.199
0.344,1.202
0.346,1.187
0.348,1.178
0.350,1.175
0.352,1.168
0.354,1.175
0.356,1.171
0.358,1.178
0.360,1.175
0.362,1.187
0.364,1.187
0.366,1.181
0.368,1.178
0.370,1.168
0.372,1.175
0.374,1.184
0.376,1.196
0.378,1.202
0.380,1.205
0.382,1.196
0.384,1.187
0.386,1.187
0.388,1.175
0.390,1.171
0.392,1.162
0.394,1.168
0.396,1.181
0.398,1.193
0.400,1.199
0.402,1.196
0.404,1.187
0.406,1.168
0.408,1.159
0.410,1.165
0.412,1.178
0.414,1.171
0.416,1.181
0.418,1.171
0.420,1.159
0.422,1.150
0.424,1.147
0.426,1.144
0.428,1.153
0.430,1.150
0.432,1.144
0.434,1.141
0.436,1.120
0.438,1.126
0.440,1.141
0.442,1.150
0.444,1.159
0.446,1.153
0.448,1.138
0.450,1.126
0.452,1.144
0.454,1.159
0.456,1.175
0.458,1.178
0.460,1.165
0.462,1.150
0.464,1.153
0.466,1.162
0.468,1.175
0.470,1.184
0.472,1.175
0.474,1.178
0.476,1.178
0.478,1.175
0.480,1.181
0.482,1.190
0.484,1.187
0.486,1.181
0.488,1.175
0.490,1.171
0.492,1.168
0.494,1.159
0.496,1.159
0.498,1.165
0.500,1.175
0.502,1.168
0.504,1.144
0.506,1.138
0.508,1.120
0.510,1.117
0.512,1.126
0.514,1.126
0.516,1.126
0.518,1.138
0.520,1.138
0.522,1.135
0.524,1.135
0.526,1.129
0.528,1.120
0.530,1.117
0.532,1.117
0.534,1.126
0.536,1.129
0.538,1.129
0.540,1.120
