"Time","Potential"
0.790,0.009
0.792,0.009
0.794,0.012
0.796,0.012
0.798,0.006
0.800,0.006
0.802,0.009
0.804,0.012
0.806,0.009
0.808,0.006
0.810,0.012
0.812,-0.006
0.814,0.006
0.816,0.006
0.818,0.009
0.820,0.015
0.822,0.006
0.824,-0.006
0.826,0.000
0.828,0.009
0.830,0.006
0.832,0.009
0.834,0.009
0.836,0.009
0.838,0.006
0.840,0.006
0.842,0.009
0.844,0.009
0.846,0.009
0.848,0.006
0.850,0.009
0.852,0.006
0.854,0.006
0.856,0.006
0.858,0.006
0.860,0.015
0.862,0.003
0.864,0.006
0.866,0.015
0.868,0.015
0.870,-0.006
0.872,0.006
0.874,0.009
0.876,0.012
0.878,0.012
0.880,0.009
0.882,0.006
0.884,0.006
0.886,0.006
0.888,0.006
0.890,0.009
0.892,0.012
0.894,-0.006
0.896,0.006
0.898,0.006
0.900,0.012
0.902,0.012
0.904,0.015
0.906,0.012
0.908,0.015
0.910,0.006
0.912,0.006
0.914,0.009
0.916,0.009
0.918,0.018
0.920,0.006
0.922,0.003
0.924,0.003
0.926,0.003
0.928,0.006
0.930,0.006
0.932,0.015
0.934,0.006
0.936,0.000
0.938,0.006
0.940,0.009
0.942,0.012
0.944,0.012
0.946,0.009
0.948,0.009
0.950,0.006
0.952,0.006
0.954,0.006
0.956,0.009
0.958,0.015
0.960,-0.006
0.962,0.006
0.964,0.006
0.966,0.006
0.968,0.006
0.970,0.006
0.972,0.009
0.974,0.000
0.976,-0.006
0.978,0.006
0.980,0.012
0.982,0.012
0.984,0.015
0.986,0.009
0.988,0.012
0.990,0.012
0.992,0.006
0.994,0.006
0.996,0.012
0.998,0.012
1.000,0.006
1.002,0.006
1.004,0.006
1.006,0.006
1.008,-0.006
1.010,0.006
1.012,0.009
1.014,0.012
1.016,0.006
1.018,0.006
1.020,0.009
1.022,0.012
1.024,0.015
1.026,0.012
1.028,0.009
1.030,0.012
1.032,0.006
1.034,0.006
1.036,0.006
1.038,0.009
1.040,0.006
1.042,0.003
1.044,0.006
1.046,-0.006
1.048,0.006
1.050,0.006
1.052,0.009
1.054,0.012
1.056,0.009
1.058,-0.006
1.060,0.006
1.062,0.009
1.064,0.012
1.066,0.009
1.068,0.006
1.070,0.012
1.072,-0.006
1.074,0.006
1.076,0.003
1.078,0.009
1.080,0.009
1.082,-0.006
1.084,-0.006
1.086,0.006
1.088,0.000
1.090,0.006
1.092,0.009
1.094,0.012
1.096,0.009
1.098,0.006
1.100,0.006
1.102,0.009
1.104,0.009
1.106,0.009
1.108,0.006
1.110,0.009
1.112,0.006
1.114,0.006
1.116,0.003
1.118,0.006
1.120,0.012
1.122,0.006
1.124,0.006
1.126,0.003
1.128,0.015
1.130,0.006
1.132,0.009
1.134,0.009
1.136,0.012
1.138,0.003
