"Time","Potential"
0.796,1.494
0.798,1.488
0.800,1.479
0.802,1.491
0.804,1.491
0.806,1.497
0.808,1.497
0.810,1.500
0.812,1.491
0.814,1.491
0.816,1.494
0.818,1.497
0.820,1.497
0.822,1.497
0.824,1.488
0.826,1.491
0.828,1.494
0.830,1.494
0.832,1.497
0.834,1.491
0.836,1.488
0.838,1.488
0.840,1.488
0.842,1.494
0.844,1.497
0.846,1.488
0.848,1.488
0.850,1.488
0.852,1.488
0.854,1.494
0.856,1.488
0.858,1.488
0.860,1.488
0.862,1.485
0.864,1.491
0.866,1.494
0.868,1.488
0.870,1.479
0.872,1.488
0.874,1.488
0.876,1.491
0.878,1.494
0.880,1.488
0.882,1.485
0.884,1.488
0.886,1.494
0.888,1.494
0.890,1.497
0.892,1.497
0.894,1.488
0.896,1.488
0.898,1.491
0.900,1.494
0.902,1.491
0.904,1.491
0.906,1.488
0.908,1.488
0.910,1.488
0.912,1.488
0.914,1.494
0.916,1.488
0.918,1.482
0.920,1.485
0.922,1.485
0.924,1.491
0.926,1.488
0.928,1.485
0.930,1.485
0.932,1.488
0.934,1.491
0.936,1.494
0.938,1.485
0.940,1.473
0.942,1.485
0.944,1.485
0.946,1.488
0.948,1.488
0.950,1.479
0.952,1.479
0.954,1.485
0.956,1.488
0.958,1.488
0.960,1.488
0.962,1.491
0.964,1.485
0.966,1.485
0.968,1.488
0.970,1.491
0.972,1.491
0.974,1.488
0.976,1.485
0.978,1.488
0.980,1.488
0.982,1.494
0.984,1.497
0.986,1.488
0.988,1.488
0.990,1.488
0.992,1.488
0.994,1.494
0.996,1.488
0.998,1.491
1.000,1.488
1.002,1.488
1.004,1.494
1.006,1.494
1.008,1.485
1.010,1.482
1.012,1.491
1.014,1.491
1.016,1.497
1.018,1.497
1.020,1.488
1.022,1.485
1.024,1.488
1.026,1.491
1.028,1.494
1.030,1.494
1.032,1.488
1.034,1.488
1.036,1.488
1.038,1.491
1.040,1.491
1.042,1.494
1.044,1.485
1.046,1.485
1.048,1.485
1.050,1.488
1.052,1.488
1.054,1.491
1.056,1.485
1.058,1.482
1.060,1.485
1.062,1.485
1.064,1.491
1.066,1.479
1.068,1.485
1.070,1.482
1.072,1.482
1.074,1.488
1.076,1.488
1.078,1.473
1.080,1.479
1.082,1.488
1.084,1.488
1.086,1.491
1.088,1.488
1.090,1.485
1.092,1.473
1.094,1.482
1.096,1.488
1.098,1.488
1.100,1.488
1.102,1.485
1.104,1.485
1.106,1.485
1.108,1.488
1.110,1.488
1.112,1.488
1.114,1.479
1.116,1.482
1.118,1.485
1.120,1.485
1.122,1.485
1.124,1.488
1.126,1.485
1.128,1.485
1.130,1.488
1.132,1.488
1.134,1.488
1.136,1.476
1.138,1.479
1.140,1.479
1.142,1.482
1.144,1.485
1.146,1.488
1.148,1.473
1.150,1.482
1.152,1.488
1.154,1.488
1.156,1.494
1.158,1.488
1.160,1.488
1.162,1.479
1.164,1.488
1.166,1.488
1.168,1.491
1.170,1.491
1.172,1.485
1.174,1.488
1.176,1.488
1.178,1.488
1.180,1.494
1.182,1.494
1.184,1.485
1.186,1.488
1.188,1.488
1.190,1.494
1.192,1.491
1.194,1.488
1.196,1.488
1.198,1.482
1.200,1.485
1.202,1.491
1.204,1.494
1.206,1.485
1.208,1.494
1.210,1.488
1.212,1.491
1.214,1.497
1.216,1.494
1.218,1.479
1.220,1.485
1.222,1.488
1.224,1.488
1.226,1.494
1.228,1.488
1.230,1.485
1.232,1.479
1.234,1.488
1.236,1.491
1.238,1.494
1.240,1.494
1.242,1.488
1.244,1.488
1.246,1.488
1.248,1.488
1.250,1.491
1.252,1.491
1.254,1.479
1.256,1.482
1.258,1.485
1.260,1.488
