"Time","Potential"
0.000,0.517
0.002,0.523
0.004,0.520
0.006,0.520
0.008,0.520
0.010,0.535
0.012,0.541
0.014,0.535
0.016,0.532
0.018,0.535
0.020,0.532
0.022,0.529
0.024,0.529
0.026,0.529
0.028,0.529
0.030,0.523
0.032,0.529
0.034,0.535
0.036,0.544
0.038,0.547
0.040,0.553
0.042,0.559
0.044,0.571
0.046,0.565
0.048,0.577
0.050,0.583
0.052,0.577
0.054,0.577
0.056,0.571
0.058,0.556
0.060,0.556
0.062,0.550
0.064,0.547
0.066,0.541
0.068,0.535
0.070,0.535
0.072,0.529
0.074,0.538
0.076,0.541
0.078,0.547
0.080,0.553
0.082,0.559
0.084,0.568
0.086,0.571
0.088,0.571
0.090,0.571
0.092,0.565
0.094,0.568
0.096,0.562
0.098,0.559
0.100,0.556
0.102,0.547
0.104,0.535
0.106,0.538
0.108,0.532
0.110,0.532
0.112,0.541
0.114,0.532
0.116,0.535
0.118,0.538
0.120,0.544
0.122,0.547
0.124,0.553
0.126,0.562
0.128,0.562
0.130,0.556
0.132,0.559
0.134,0.562
0.136,0.568
0.138,0.559
0.140,0.559
0.142,0.547
0.144,0.541
0.146,0.532
0.148,0.535
0.150,0.538
0.152,0.544
0.154,0.547
0.156,0.538
0.158,0.547
0.160,0.550
0.162,0.556
0.164,0.565
0.166,0.571
0.168,0.571
0.170,0.568
0.172,0.559
0.174,0.559
0.176,0.553
0.178,0.544
0.180,0.544
0.182,0.538
0.184,0.538
0.186,0.541
0.188,0.544
0.190,0.541
0.192,0.544
0.194,0.553
0.196,0.553
0.198,0.553
0.200,0.559
0.202,0.559
0.204,0.556
0.206,0.550
0.208,0.544
0.210,0.532
0.212,0.535
0.214,0.526
0.216,0.526
0.218,0.523
0.220,0.523
0.222,0.523
0.224,0.529
0.226,0.529
0.228,0.529
0.230,0.523
0.232,0.529
0.234,0.529
0.236,0.532
0.238,0.535
0.240,0.535
0.242,0.535
0.244,0.526
0.246,0.520
0.248,0.520
0.250,0.529
0.252,0.529
0.254,0.523
0.256,0.508
0.258,0.511
0.260,0.505
0.262,0.511
0.264,0.508
0.266,0.508
0.268,0.508
0.270,0.508
0.272,0.505
0.274,0.508
0.276,0.508
0.278,0.508
0.280,0.505
0.282,0.508
0.284,0.505
0.286,0.505
0.288,0.499
0.290,0.496
0.292,0.492
0.294,0.492
0.296,0.489
0.298,0.486
0.300,0.486
0.302,0.486
0.304,0.486
0.306,0.486
0.308,0.489
0.310,0.483
0.312,0.492
0.314,0.483
0.316,0.489
0.318,0.489
0.320,0.489
0.322,0.496
0.324,0.496
0.326,0.496
0.328,0.496
0.330,0.486
0.332,0.483
0.334,0.486
0.336,0.489
0.338,0.486
0.340,0.486
0.342,0.492
0.344,0.486
0.346,0.483
0.348,0.486
0.350,0.486
0.352,0.486
0.354,0.489
0.356,0.477
0.358,0.477
0.360,0.474
0.362,0.483
0.364,0.483
0.366,0.483
0.368,0.483
0.370,0.489
0.372,0.483
0.374,0.489
0.376,0.492
0.378,0.492
0.380,0.496
0.382,0.496
0.384,0.499
0.386,0.502
0.388,0.499
0.390,0.499
0.392,0.496
0.394,0.499
0.396,0.499
0.398,0.496
0.400,0.496
0.402,0.492
0.404,0.489
0.406,0.489
0.408,0.486
0.410,0.489
0.412,0.499
0.414,0.483
0.416,0.492
0.418,0.492
0.420,0.496
0.422,0.496
0.424,0.505
0.426,0.502
0.428,0.505
0.430,0.499
0.432,0.502
0.434,0.502
0.436,0.508
0.438,0.505
0.440,0.505
0.442,0.508
0.444,0.505
0.446,0.505
0.448,0.511
0.450,0.511
0.452,0.508
0.454,0.508
0.456,0.496
0.458,0.496
0.460,0.496
0.462,0.499
0.464,0.508
0.466,0.508
0.468,0.508
0.470,0.508
0.472,0.505
0.474,0.511
0.476,0.514
0.478,0.517
0.480,0.514
0.482,0.520
0.484,0.523
0.486,0.523
0.488,0.523
0.490,0.523
0.492,0.523
0.494,0.523
0.496,0.526
0.498,0.523
0.500,0.523
0.502,0.523
0.504,0.517
0.506,0.517
0.508,0.508
0.510,0.508
0.512,0.520
0.514,0.508
0.516,0.514
0.518,0.511
0.520,0.514
0.522,0.514
0.524,0.523
0.526,0.523
0.528,0.523
0.530,0.520
0.532,0.520
0.534,0.523
0.536,0.526
0.538,0.529
0.540,0.529
0.542,0.532
0.544,0.523
0.546,0.526
0.548,0.535
0.550,0.532
0.552,0.532
0.554,0.535
0.556,0.523
0.558,0.520
0.560,0.520
0.562,0.523
0.564,0.523
0.566,0.526
0.568,0.520
0.570,0.520
0.572,0.511
0.574,0.520
0.576,0.517
0.578,0.520
0.580,0.514
0.582,0.514
0.584,0.520
0.586,0.517
0.588,0.514
0.590,0.511
0.592,0.511
0.594,0.508
0.596,0.514
0.598,0.508
0.600,0.508
0.602,0.511
0.604,0.496
0.606,0.505
0.608,0.496
0.610,0.511
0.612,0.511
0.614,0.508
0.616,0.508
0.618,0.508
0.620,0.508
0.622,0.508
0.624,0.508
0.626,0.508
0.628,0.508
0.630,0.508
0.632,0.508
0.634,0.508
0.636,0.511
0.638,0.508
0.640,0.508
0.642,0.508
0.644,0.508
0.646,0.502
0.648,0.514
0.650,0.505
0.652,0.505
0.654,0.508
0.656,0.505
0.658,0.505
0.660,0.508
0.662,0.505
0.664,0.520
0.666,0.511
0.668,0.520
0.670,0.508
0.672,0.508
0.674,0.520
0.676,0.514
0.678,0.511
0.680,0.508
0.682,0.511
0.684,0.511
0.686,0.511
0.688,0.508
0.690,0.508
0.692,0.505
0.694,0.508
0.696,0.508
0.698,0.508
0.700,0.508
0.702,0.511
0.704,0.499
0.706,0.505
0.708,0.492
0.710,0.499
0.712,0.508
0.714,0.496
0.716,0.502
0.718,0.505
0.720,0.502
0.722,0.505
0.724,0.508
0.726,0.508
0.728,0.505
0.730,0.505
0.732,0.508
0.734,0.508
0.736,0.511
0.738,0.508
0.740,0.511
0.742,0.511
0.744,0.511
0.746,0.508
0.748,0.517
0.750,0.520
0.752,0.520
0.754,0.520
0.756,0.508
0.758,0.508
0.760,0.508
0.762,0.514
0.764,0.520
0.766,0.514
0.768,0.517
0.770,0.517
0.772,0.508
0.774,0.511
0.776,0.511
0.778,0.508
0.780,0.505
0.782,0.505
0.784,0.505
0.786,0.505
0.788,0.505
0.790,0.502
0.792,0.499
0.794,0.505
0.796,0.508
0.798,0.514
0.800,0.514
0.802,0.511
0.804,0.514
0.806,0.517
0.808,0.508
0.810,0.514
0.812,0.529
0.814,0.514
0.816,0.520
0.818,0.520
0.820,0.520
0.822,0.520
0.824,0.526
0.826,0.523
0.828,0.523
0.830,0.514
0.832,0.514
0.834,0.517
0.836,0.520
0.838,0.517
0.840,0.517
0.842,0.517
0.844,0.511
0.846,0.514
0.848,0.517
0.850,0.517
0.852,0.514
0.854,0.514
0.856,0.499
0.858,0.496
0.860,0.496
0.862,0.502
0.864,0.505
0.866,0.505
0.868,0.505
0.870,0.508
0.872,0.505
0.874,0.511
0.876,0.514
0.878,0.520
0.880,0.520
0.882,0.523
0.884,0.529
0.886,0.529
0.888,0.529
0.890,0.526
0.892,0.523
0.894,0.529
0.896,0.529
0.898,0.529
0.900,0.523
0.902,0.523
0.904,0.517
0.906,0.520
0.908,0.508
0.910,0.514
0.912,0.523
0.914,0.508
0.916,0.511
0.918,0.511
0.920,0.508
0.922,0.508
0.924,0.511
0.926,0.511
0.928,0.505
0.930,0.499
0.932,0.505
0.934,0.505
0.936,0.508
0.938,0.511
0.940,0.514
0.942,0.523
0.944,0.523
0.946,0.520
0.948,0.535
0.950,0.538
0.952,0.538
0.954,0.544
0.956,0.532
0.958,0.529
0.960,0.532
0.962,0.532
0.964,0.535
0.966,0.535
0.968,0.532
0.970,0.523
0.972,0.520
0.974,0.523
0.976,0.520
0.978,0.517
0.980,0.520
0.982,0.520
0.984,0.520
0.986,0.520
0.988,0.514
0.990,0.511
0.992,0.511
0.994,0.514
0.996,0.514
0.998,0.514
1.000,0.511
1.002,0.511
1.004,0.505
1.006,0.508
1.008,0.496
1.010,0.511
1.012,0.511
1.014,0.499
1.016,0.505
1.018,0.505
1.020,0.505
1.022,0.505
1.024,0.508
1.026,0.508
1.028,0.505
1.030,0.505
1.032,0.508
1.034,0.511
1.036,0.514
1.038,0.514
1.040,0.520
1.042,0.523
1.044,0.523
1.046,0.520
1.048,0.529
1.050,0.532
1.052,0.532
1.054,0.535
1.056,0.523
1.058,0.520
1.060,0.529
1.062,0.523
1.064,0.529
1.066,0.523
1.068,0.523
1.070,0.520
1.072,0.520
1.074,0.523
1.076,0.523
1.078,0.523
1.080,0.523
1.082,0.529
1.084,0.532
1.086,0.532
1.088,0.523
1.090,0.523
1.092,0.523
1.094,0.529
1.096,0.532
1.098,0.529
1.100,0.535
1.102,0.532
1.104,0.523
1.106,0.529
1.108,0.526
1.110,0.535
1.112,0.535
1.114,0.523
1.116,0.529
1.118,0.529
1.120,0.529
